Event Label	Campaign	Basis	Station	Device	URI	Comment	File name	Date/Time	Latitude	Longitude	Depth water 	Bottle	Press 	Temp 	Cond 	Sal	Tpot 	Sigma-theta 
TARA_20100626T0713Z_056_EVENT_CAST	TARA_20100624Z	SV Tara	TARA_056	Rosette Vertical Sampling System	http://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20100626T0713Z_056_EVENT_CAST.pdf	"Device: equipped with [SENSORS] SEABIRD components, WETLabs optical sensors, HYDROPTIC Underwater Vision Profiler (UVP), SATLANTIC In Situ Ultraviolet Spectrophotometer nitrate sensor (ISUS) and [NISKIN] 10 Niskin bottles (6 x 8-L and 4 x 12-L) equipped with silicon and Teflon parts] [Logsheet: (Searson, Obolensky) UVP5 ligt test 6x] [Engineer: No ISUS. UVP would not connect to FD before cast/ OK on profile]"	tara_sbe_9C_100626_01	6/26/10 7:12	-15.3379	43.2948	980.5395	10	990	6.284	34.9132	34.83	6.1917	27.3939
TARA_20100626T0713Z_056_EVENT_CAST	TARA_20100624Z	SV Tara	TARA_056	Rosette Vertical Sampling System	http://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20100626T0713Z_056_EVENT_CAST.pdf	"Device: equipped with [SENSORS] SEABIRD components, WETLabs optical sensors, HYDROPTIC Underwater Vision Profiler (UVP), SATLANTIC In Situ Ultraviolet Spectrophotometer nitrate sensor (ISUS) and [NISKIN] 10 Niskin bottles (6 x 8-L and 4 x 12-L) equipped with silicon and Teflon parts] [Logsheet: (Searson, Obolensky) UVP5 ligt test 6x] [Engineer: No ISUS. UVP would not connect to FD before cast/ OK on profile]"	tara_sbe_9C_100626_01	6/26/10 7:12	-15.3379	43.2948	982.43	9	992	6.27	34.9025	34.832	6.1775	27.3969
TARA_20100626T0713Z_056_EVENT_CAST	TARA_20100624Z	SV Tara	TARA_056	Rosette Vertical Sampling System	http://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20100626T0713Z_056_EVENT_CAST.pdf	"Device: equipped with [SENSORS] SEABIRD components, WETLabs optical sensors, HYDROPTIC Underwater Vision Profiler (UVP), SATLANTIC In Situ Ultraviolet Spectrophotometer nitrate sensor (ISUS) and [NISKIN] 10 Niskin bottles (6 x 8-L and 4 x 12-L) equipped with silicon and Teflon parts] [Logsheet: (Searson, Obolensky) UVP5 ligt test 6x] [Engineer: No ISUS. UVP would not connect to FD before cast/ OK on profile]"	tara_sbe_9C_100626_01	6/26/10 7:12	-15.3379	43.2948	984.728	8	994	6.265	34.8992	34.832	6.1722	27.3978
TARA_20100626T0713Z_056_EVENT_CAST	TARA_20100624Z	SV Tara	TARA_056	Rosette Vertical Sampling System	http://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20100626T0713Z_056_EVENT_CAST.pdf	"Device: equipped with [SENSORS] SEABIRD components, WETLabs optical sensors, HYDROPTIC Underwater Vision Profiler (UVP), SATLANTIC In Situ Ultraviolet Spectrophotometer nitrate sensor (ISUS) and [NISKIN] 10 Niskin bottles (6 x 8-L and 4 x 12-L) equipped with silicon and Teflon parts] [Logsheet: (Searson, Obolensky) UVP5 ligt test 6x] [Engineer: No ISUS. UVP would not connect to FD before cast/ OK on profile]"	tara_sbe_9C_100626_01	6/26/10 7:12	-15.3379	43.2948	986.873	7	996	6.254	34.8894	34.832	6.1607	27.3989
TARA_20100626T0713Z_056_EVENT_CAST	TARA_20100624Z	SV Tara	TARA_056	Rosette Vertical Sampling System	http://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20100626T0713Z_056_EVENT_CAST.pdf	"Device: equipped with [SENSORS] SEABIRD components, WETLabs optical sensors, HYDROPTIC Underwater Vision Profiler (UVP), SATLANTIC In Situ Ultraviolet Spectrophotometer nitrate sensor (ISUS) and [NISKIN] 10 Niskin bottles (6 x 8-L and 4 x 12-L) equipped with silicon and Teflon parts] [Logsheet: (Searson, Obolensky) UVP5 ligt test 6x] [Engineer: No ISUS. UVP would not connect to FD before cast/ OK on profile]"	tara_sbe_9C_100626_01	6/26/10 7:12	-15.3379	43.2948	988.763	6	998	6.255	34.8945	34.834	6.1624	27.4008
TARA_20100626T0713Z_056_EVENT_CAST	TARA_20100624Z	SV Tara	TARA_056	Rosette Vertical Sampling System	http://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20100626T0713Z_056_EVENT_CAST.pdf	"Device: equipped with [SENSORS] SEABIRD components, WETLabs optical sensors, HYDROPTIC Underwater Vision Profiler (UVP), SATLANTIC In Situ Ultraviolet Spectrophotometer nitrate sensor (ISUS) and [NISKIN] 10 Niskin bottles (6 x 8-L and 4 x 12-L) equipped with silicon and Teflon parts] [Logsheet: (Searson, Obolensky) UVP5 ligt test 6x] [Engineer: No ISUS. UVP would not connect to FD before cast/ OK on profile]"	tara_sbe_9C_100626_01	6/26/10 7:12	-15.3379	43.2948	990.512	5	1000	6.24	34.8804	34.833	6.1472	27.402
TARA_20100626T0713Z_056_EVENT_CAST	TARA_20100624Z	SV Tara	TARA_056	Rosette Vertical Sampling System	http://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20100626T0713Z_056_EVENT_CAST.pdf	"Device: equipped with [SENSORS] SEABIRD components, WETLabs optical sensors, HYDROPTIC Underwater Vision Profiler (UVP), SATLANTIC In Situ Ultraviolet Spectrophotometer nitrate sensor (ISUS) and [NISKIN] 10 Niskin bottles (6 x 8-L and 4 x 12-L) equipped with silicon and Teflon parts] [Logsheet: (Searson, Obolensky) UVP5 ligt test 6x] [Engineer: No ISUS. UVP would not connect to FD before cast/ OK on profile]"	tara_sbe_9C_100626_01	6/26/10 7:12	-15.3379	43.2948	992.748	4	1002	6.222	34.864	34.832	6.1292	27.4036
TARA_20100626T0713Z_056_EVENT_CAST	TARA_20100624Z	SV Tara	TARA_056	Rosette Vertical Sampling System	http://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20100626T0713Z_056_EVENT_CAST.pdf	"Device: equipped with [SENSORS] SEABIRD components, WETLabs optical sensors, HYDROPTIC Underwater Vision Profiler (UVP), SATLANTIC In Situ Ultraviolet Spectrophotometer nitrate sensor (ISUS) and [NISKIN] 10 Niskin bottles (6 x 8-L and 4 x 12-L) equipped with silicon and Teflon parts] [Logsheet: (Searson, Obolensky) UVP5 ligt test 6x] [Engineer: No ISUS. UVP would not connect to FD before cast/ OK on profile]"	tara_sbe_9C_100626_01	6/26/10 7:12	-15.3379	43.2948	994.671	3	1004	6.213	34.8562	34.832	6.1196	27.4046
TARA_20100626T0713Z_056_EVENT_CAST	TARA_20100624Z	SV Tara	TARA_056	Rosette Vertical Sampling System	http://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20100626T0713Z_056_EVENT_CAST.pdf	"Device: equipped with [SENSORS] SEABIRD components, WETLabs optical sensors, HYDROPTIC Underwater Vision Profiler (UVP), SATLANTIC In Situ Ultraviolet Spectrophotometer nitrate sensor (ISUS) and [NISKIN] 10 Niskin bottles (6 x 8-L and 4 x 12-L) equipped with silicon and Teflon parts] [Logsheet: (Searson, Obolensky) UVP5 ligt test 6x] [Engineer: No ISUS. UVP would not connect to FD before cast/ OK on profile]"	tara_sbe_9C_100626_01	6/26/10 7:12	-15.3379	43.2948	996.561	2	1006	6.194	34.8383	34.83	6.1012	27.4053
TARA_20100626T0713Z_056_EVENT_CAST	TARA_20100624Z	SV Tara	TARA_056	Rosette Vertical Sampling System	http://store.pangaea.de/Projects/TARA-OCEANS/Logsheets_Event/TARA_20100626T0713Z_056_EVENT_CAST.pdf	"Device: equipped with [SENSORS] SEABIRD components, WETLabs optical sensors, HYDROPTIC Underwater Vision Profiler (UVP), SATLANTIC In Situ Ultraviolet Spectrophotometer nitrate sensor (ISUS) and [NISKIN] 10 Niskin bottles (6 x 8-L and 4 x 12-L) equipped with silicon and Teflon parts] [Logsheet: (Searson, Obolensky) UVP5 ligt test 6x] [Engineer: No ISUS. UVP would not connect to FD before cast/ OK on profile]"	tara_sbe_9C_100626_01	6/26/10 7:12	-15.3379	43.2948	998.64	1	1008	6.165	34.8091	34.827	6.0714	27.4067
