campaign_expedition	expedition_url	campaign_name	start_date	end_date	start_location	end_location	URL file	URL PANGAEA	URL ENA
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20110826Z	2011-08-26	2011-09-18	Papeete	Honolulu	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20110826Z_report.pdf	https://www.pangaea.de/?q=TARA_20110826Z	https://www.ebi.ac.uk/ena/data/search?query=TARA_20110826Z
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20110626Z	2011-06-26	2011-07-11	Totegegie	Totegegie	NA	https://www.pangaea.de/?q=TARA_20110626Z	https://www.ebi.ac.uk/ena/data/search?query=TARA_20110626Z
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20110520Z	2011-05-20	2011-06-19	Guayaquil	Totegegie	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20110520Z_report.pdf	https://www.pangaea.de/?q=TARA_20110520Z	https://www.ebi.ac.uk/ena/data/search?query=TARA_20110520Z
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20110509Z	2011-05-09	2011-05-16	Puerto Ayora	Guayaquil	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20110509Z_report.pdf	https://www.pangaea.de/?q=TARA_20110509Z	https://www.ebi.ac.uk/ena/data/search?query=TARA_20110509Z
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20110501Z	2011-05-01	2011-05-07	Guayaquil	Puerto Ayora	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20110501Z_report.pdf	https://www.pangaea.de/?q=TARA_20110501Z	https://www.ebi.ac.uk/ena/data/search?query=TARA_20110501Z
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20110401Z	2011-04-01	2011-04-25	Easter Island	Guayaquil	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20110401Z_report.pdf	https://www.pangaea.de/?q=TARA_20110401Z	https://www.ebi.ac.uk/ena/data/search?query=TARA_20110401Z
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20110311Z	2011-03-11	2011-03-30	Valparaiso	Easter Island	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20110311Z_report.pdf	https://www.pangaea.de/?q=TARA_20110311Z	https://www.ebi.ac.uk/ena/data/search?query=TARA_20110311Z
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20110220Z	2011-02-20	2011-02-26	Puerto Montt	Valparaiso	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20110220Z_report.pdf	https://www.pangaea.de/?q=TARA_20110220Z	https://www.ebi.ac.uk/ena/data/search?query=TARA_20110220Z
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20101231Z	2010-12-31	2011-01-28	Ushuaia	Puerto Williams	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20101231Z_report.pdf	https://www.pangaea.de/?q=TARA_20101231Z	https://www.ebi.ac.uk/ena/data/search?query=TARA_20101231Z
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20101126Z	2010-11-26	2010-12-19	Buenos Aires	Ushuaia	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20101126Z_report.pdf	https://www.pangaea.de/?q=TARA_20101126Z	https://www.ebi.ac.uk/ena/data/search?query=TARA_20101126Z
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20100905Z	2010-09-05	2010-09-29	CapeTown	Ascencion	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20100905Z_report.pdf	https://www.pangaea.de/?q=TARA_20100905Z	https://www.ebi.ac.uk/ena/data/search?query=TARA_20100905Z
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20100624Z	2010-06-24	2010-07-16	Mamoudzou	CapeTown	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20100624Z_report.pdf	https://www.pangaea.de/?q=TARA_20100624Z	https://www.ebi.ac.uk/ena/data/search?query=TARA_20100624Z
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20100508Z	2010-05-08	2010-05-12	PortLouis	StDenis	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20100508Z_report.pdf	https://www.pangaea.de/?q=TARA_20100508Z	https://www.ebi.ac.uk/ena/data/search?query=TARA_20100508Z
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20100410Z	2010-04-10	2010-04-23	Maldives	StBrandon	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20100410Z_report.pdf	https://www.pangaea.de/?q=TARA_20100410Z	https://www.ebi.ac.uk/ena/data/search?query=TARA_20100410Z
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20090926Z	2009-09-26	2009-10-02	Algiers	Barcelona	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20090926Z_report.pdf	https://www.pangaea.de/?q=TARA_20090926Z	https://www.ebi.ac.uk/ena/data/search?query=TARA_20090926Z
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20090919Z	2009-09-19	2009-09-25	Tangier	Algiers	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20090919Z_report.pdf	https://www.pangaea.de/?q=TARA_20090919Z	https://www.ebi.ac.uk/ena/data/search?query=TARA_20090919Z
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20100523Z	2010-05-23	2010-05-26	Antsiranana	Mamoudzou	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20100523Z_report.pdf	https://www.pangaea.de/?q=TARA_20100523Z	https://www.ebi.ac.uk/ena/data/search?query=TARA_20100523Z
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20091011Z	2009-10-11	2009-10-16	Nice	Bizerte	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20091011Z_report.pdf	https://www.pangaea.de/?q=TARA_20091011Z	https://www.ebi.ac.uk/ena/data/search?query=TARA_20091011Z
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20100327Z	2010-03-27	2010-04-06	Mumbai	Maldives	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20100327Z_report.pdf	https://www.pangaea.de/?q=TARA_20100327Z	https://www.ebi.ac.uk/ena/data/search?query=TARA_20100327Z
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20091019Z	2009-10-19	2009-10-22	Bizerte	Naples	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20091019Z_report.pdf	https://www.pangaea.de/?q=TARA_20091019Z	https://www.ebi.ac.uk/ena/data/search?query=TARA_20091019Z
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20101031Z	2010-10-31	2010-11-12	Rio de Janiero	Buenos Aires	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20101031Z_report.pdf	https://www.pangaea.de/?q=TARA_20101031Z	https://www.ebi.ac.uk/ena/data/search?query=TARA_20101031Z
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20101003Z	2010-10-03	2010-10-22	Ascencion	Rio de Janiero	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20101003Z_report.pdf	https://www.pangaea.de/?q=TARA_20101003Z	https://www.ebi.ac.uk/ena/data/search?query=TARA_20101003Z
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20100515Z	2010-05-15	2010-05-20	StDenis	Antsiranana	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20100515Z_report.pdf	https://www.pangaea.de/?q=TARA_20100515Z	https://www.ebi.ac.uk/ena/data/search?query=TARA_20100515Z
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20100108Z	2010-01-08	2010-01-14	SharmElSheikh	Jeddah	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20100108Z_report.pdf	https://www.pangaea.de/?q=TARA_20100108Z	https://www.ebi.ac.uk/ena/data/search?query=TARA_20100108Z
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20091122Z	2009-11-22	2009-11-26	Dubrovnik	Athens	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20091122Z_report.pdf	https://www.pangaea.de/?q=TARA_20091122Z	https://www.ebi.ac.uk/ena/data/search?query=TARA_20091122Z
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20091031Z	2009-10-31	2009-11-06	Valetta	Tripoli	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20091031Z_report.pdf	https://www.pangaea.de/?q=TARA_20091031Z	https://www.ebi.ac.uk/ena/data/search?query=TARA_20091031Z
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20091025Z	2009-10-25	2009-10-29	Naples	Valetta	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20091025Z_report.pdf	https://www.pangaea.de/?q=TARA_20091025Z	https://www.ebi.ac.uk/ena/data/search?query=TARA_20091025Z
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20090913Z	2009-09-13	2009-09-17	Lisbon	Tangier	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20090913Z_report.pdf	https://www.pangaea.de/?q=TARA_20090913Z	https://www.ebi.ac.uk/ena/data/search?query=TARA_20090913Z
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20091214Z	2009-12-14	2009-12-18	Beirut	Alexandria	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20091214Z_report.pdf	https://www.pangaea.de/?q=TARA_20091214Z	https://www.ebi.ac.uk/ena/data/search?query=TARA_20091214Z
